Rank,Film Title,Year,Genre,Revenue (Millions),Tickets Sold
104,Werewolves Within,2021,Horror,"575,783","62,858"
105,City of Lies,2021,Drama,"572,493","62,499"
106,Long Weekend,2021,Romantic Comedy,"528,438","57,689"
107,Truffle Hunters,2021,Documentary,"521,202","56,899"
108,Jathi Ratnalu,2021,Comedy,"460,000","50,218"
109,2021 Oscar Shorts,2021,Multiple Genres,"443,050","48,367"
110,Lost Leonardo,2021,Documentary,"429,301","46,866"
111,Flag Day,2021,Drama,"424,667","46,361"
112,Willy’s Wonderland,2021,Horror,"418,286","45,664"
113,Crisis,2021,Thriller/Suspense,"409,363","44,690"
114,Raging Fire,2021,Action,"378,654","41,337"
115,Ghost in the Shell,1996,Action,"373,169","40,738"
116,Dry,2021,Thriller/Suspense,"364,397","39,781"
117,Water Man,2021,Drama,"354,087","38,655"
118,Bo Gia,2021,Comedy,"350,000","38,209"
119,World War Z,2013,Action,"347,000","37,882"
120,Escape From Mogadishu,2021,Action,"337,512","36,846"
121,Emperor's New Groove,2000,Adventure,"334,000","36,462"
122,Dutch,2021,Thriller/Suspense,"323,167","35,280"
123,Final Account,2021,Documentary,"308,976","33,731"
124,New Order,2021,Thriller/Suspense,"304,167","33,206"
125,Blithe Spirit,2021,Comedy,"282,499","30,840"
126,American Skin,2021,Drama,"282,332","30,822"
127,Freaky,2020,Horror,"272,895","29,792"
128,Rita Moreno: Just a Girl Wh…,2021,Documentary,"264,626","28,889"
129,Once I Was Engaged,2021,Comedy,"254,775","27,813"
130,Murder in the Woods,2020,Horror,"241,906","26,408"
131,Supernova,2021,Drama,"234,220","25,569"
132,Limbo,2021,Drama,"224,405","24,498"
133,Together,2021,Comedy,"214,390","23,405"
134,Top Gun,1986,Action,"212,311","23,178"
135,La piscine,2021,Drama,"211,467","23,085"
136,Ailey,2021,Documentary,"204,512","22,326"
137,Resort,2021,Horror,"191,996","20,960"
138,Half Brothers,2020,Comedy,"185,345","20,234"
139,Earwig and the Witch,2021,Adventure,"173,704","18,963"
140,I Carry You With Me,2020,Drama,"166,403","18,166"
141,Beans,2021,Drama,"165,776","18,097"
142,Délicieux,2021,Comedy,"163,034","17,798"
143,Shiva Baby,2021,Comedy,"156,552","17,090"
144,Heaven,2020,Drama,"148,091","16,167"
145,SAS: Red Notice,2021,Action,"146,329","15,974"
146,Reckoning,2021,Horror,"143,532","15,669"
147,Held,2021,Horror,"142,817","15,591"
148,No Man’s Land,2021,Western,"139,221","15,198"
149,Six Minutes to Midnight,2021,Thriller/Suspense,"132,500","14,465"
150,Gaia,2021,Horror,"126,126","13,769"
151,Swan Song,2021,Drama,"125,930","13,747"
152,Djinn,2021,Horror,"124,649","13,607"
153,Walking with Herb,2021,Comedy,"120,226","13,125"
154,I’m Your Man,2021,Comedy,"118,695","12,957"
155,Shadow in the Cloud,2021,Action,"117,815","12,861"
156,Gunda,2021,Documentary,"113,591","12,400"
157,World to Come,2021,Drama,"113,079","12,344"
158,Paper Tigers,2021,Action,"112,691","12,302"
159,Small Engine Repair,2021,Drama,"110,995","12,117"
160,Loneliest Whale: Se…,2021,Documentary,"107,799","11,768"
161,Safer at Home,2021,Thriller/Suspense,"95,643","10,441"
162,Psycho Goreman,2021,Horror,"95,100","10,382"
163,Tango Shalom,2021,Comedy,"91,064","9,941"
164,Censor,2021,Horror,"90,050","9,830"
165,Mission Stories,2021,Drama,"87,059","9,504"
166,Abominable,2019,Adventure,"82,125","8,965"
167,Undine,2021,Drama,"79,174","8,643"
168,Riders of Justice,2021,Comedy,"77,115","8,418"
169,On Broadway,2021,Documentary,"75,510","8,243"
170,CatVideoFest,2021,Documentary,"73,015","7,971"
171,Killing of Two Lovers,2021,Drama,"72,110","7,872"
172,Summertime,2021,Drama,"72,012","7,861"
173,Summer of 85,2021,Drama,"71,611","7,817"
174,Demonic,2021,Horror,"71,334","7,787"
175,Language Lessons,2021,Drama,"70,043","7,646"
176,Remember the Titans,2000,Drama,"65,000","7,096"
177,Silo,2021,Drama,"62,873","6,863"
178,Come True,2021,Horror,"62,080","6,777"
179,Lansky,2021,Thriller/Suspense,"61,030","6,662"
180,Alien,1979,Horror,"60,000","6,550"
181,Without Getting Killed or C…,2021,Documentary,"55,333","6,040"
182,Son,2021,Horror,"55,068","6,011"
183,My Salinger Year,2021,Drama,"54,730","5,974"
184,Truman & Tennessee: An Inti…,2021,Documentary,"54,149","5,911"
185,Nowhere Inn,2021,Comedy,"53,803","5,873"
186,Always & Forever,2020,Thriller/Suspense,"53,302","5,818"
187,Ema,2021,Drama,"52,920","5,777"
188,Dara Of Jasenovac,2021,Drama,"52,786","5,762"
189,My Zoe,2021,Thriller/Suspense,"52,733","5,756"
190,About Endlessness,2021,Drama,"51,386","5,609"
191,In Balanchine’s Classroom,2021,Documentary,"50,658","5,530"
192,Vigil,2021,Horror,"50,439","5,506"
193,Last Call,2021,Comedy,"48,144","5,255"
194,MLK/FBI,2021,Documentary,"45,200","4,934"
195,Some Kind of Heaven,2021,Documentary,"45,068","4,920"
196,Death Rider in the House of…,2021,Horror,"44,736","4,883"
197,Azor,2021,Drama,"43,948","4,797"
198,Another Round,2020,Drama,"43,267","4,723"
199,Who You Think I Am,2021,Drama,"42,734","4,665"
200,Senior Moment,2021,Comedy,"41,598","4,541"
201,Little Fish,2021,Drama,"39,053","4,263"
202,Wife of a Spy,2021,Thriller/Suspense,"37,388","4,081"
203,"All Light, Everywhere",2021,Documentary,"37,266","4,068"
204,Human Factor,2021,Documentary,"36,693","4,005"
205,Jurassic World,2015,Action,"36,000","3,930"
206,Mainstream,2021,Comedy,"35,481","3,873"
207,Cryptozoo,2021,Adventure,"33,765","3,686"
208,Confetti,2021,Drama,"33,500","3,657"
209,Bloody Hell,2021,Horror,"33,170","3,621"
210,God Committee,2021,Thriller/Suspense,"32,934","3,595"
211,Yakuza Princess,2021,Thriller/Suspense,"32,124","3,506"
212,Monday,2021,Drama,"30,932","3,376"
213,Old Henry,2021,Western,"30,148","3,291"
214,Perfect Candidate,2021,Drama,"30,134","3,289"
215,Trigger Point,2021,Action,"29,262","3,194"
216,Settlers,2021,Western,"29,183","3,185"
217,Mama Weed,2021,Comedy,"29,151","3,182"
218,Holler,2021,Drama,"28,706","3,133"
219,Prisoners of the Ghostland,2021,Action,"28,204","3,079"
220,"Ma Belle, My Beauty",2021,Drama,"27,744","3,028"
221,Hidden Life of Trees,2021,Documentary,"27,635","3,016"
222,Jakob’s Wife,2021,Horror,"27,588","3,011"
223,Our Ladies,2021,Comedy,"27,558","3,008"
224,Night,2021,Thriller/Suspense,"26,136","2,853"
225,John and the Hole,2021,Thriller/Suspense,"25,386","2,771"
226,Moffie,2021,Drama,"24,520","2,676"
227,Violent Heart,2021,Thriller/Suspense,"23,614","2,577"
228,Ladykillers,1956,Comedy,"23,213","2,534"
229,Falling for Figaro,2021,Romantic Comedy,"23,052","2,516"
230,Gully,2021,Drama,"22,517","2,458"
231,A Soldier’s Story 2: Return…,2021,Action,"21,543","2,351"
232,Dating & New York,2021,Romantic Comedy,"21,515","2,348"
233,Archenemy,2020,Action,"20,282","2,214"
234,Mandibles,2021,Comedy,"19,913","2,173"
235,Delete History,2021,Comedy,"19,390","2,116"
236,Mystery of the Kingdom of God,2021,Adventure,"17,316","1,890"
237,How It Ends,2021,Comedy,"16,104","1,758"
238,Never Gonna Snow Again,2021,Comedy,"16,049","1,752"
239,First Date,2021,Comedy,"15,974","1,743"
240,Equal Standard,2021,Action,"15,938","1,739"
241,Even in Dreams,2021,Drama,"15,671","1,710"
242,No Ordinary Man,2021,Documentary,"15,508","1,693"
243,Counter Column,2020,Drama,"15,269","1,666"
244,Best Sellers,2021,Comedy,"15,243","1,664"
245,We Broke Up,2021,Romantic Comedy,"15,063","1,644"
246,Death of a Ladies’ Man,2021,Drama,"14,032","1,531"
247,American Traitor: Trial…,2021,Drama,"14,000","1,528"
248,Secret Agent Dingledorf and…,2021,Comedy,"13,760","1,502"
249,We Need to Do Something,2021,Horror,"13,589","1,483"
250,Bring Your Own Brigade,2021,Documentary,"13,375","1,460"
251,Stray,2021,Documentary,"13,325","1,454"
252,Storm Lake,2021,Documentary,"13,028","1,422"
253,Lydia Lunch: War is Nev…,2021,Documentary,"12,948","1,413"
254,Meaning of Hitler,2021,Documentary,"12,804","1,397"
255,Lorelei,2021,Drama,"12,642","1,380"
256,State Funeral,2021,Documentary,"12,424","1,356"
257,Year of the Everlasting…,2021,Multiple Genres,"12,245","1,336"
258,Sweat,2021,Drama,"11,546","1,260"
259,Hunter Hunter,2020,Horror,"11,409","1,245"
260,Aerialist,2021,Drama,"11,010","1,201"
261,Sabaya,2021,Documentary,"10,450","1,140"
262,Incredible 25th Year of…,2021,Comedy,"10,368","1,131"
263,"Casanova, Last Love",2021,Drama,"9,927","1,083"
264,Can You Bring It: Bill T. J…,2021,Documentary,"9,723","1,061"
265,Zombie Bro,2021,Comedy,"9,693","1,058"
266,All the Streets are Silent:…,2021,Documentary,"9,500","1,037"
267,Average Joe,2021,Action,"9,176","1,001"
268,Enemies of the State,2021,Documentary,"8,495",927
269,re Is No Evil,2021,Drama,"8,063",880
270,White as Snow,2021,Comedy,"7,881",860
271,Petite fille,2021,Documentary,"7,837",855
272,El Planeta,2021,Comedy,"7,181",783
273,Final Frequency,2021,Thriller/Suspense,"7,098",774
274,Boonies,2021,Horror,"6,887",751
275,Waiting for Rain (비와 당신의 이야…,2021,Drama,"6,708",732
276,Ghost Master,2021,Horror,"6,136",669
277,Angelique’s Isle,2021,Thriller/Suspense,"6,055",661
278,Dark State,2021,Thriller/Suspense,"5,824",635
279,Here After,2021,Comedy,"5,612",612
280,Tomato Red: Blood Money,2021,Thriller/Suspense,"5,504",600
281,Rock Paper Scissors,2021,Comedy,"5,497",600
282,Two of Us,2021,Comedy,"5,495",599
283,Blood Brothers,2021,Thriller/Suspense,"5,191",566
284,Victim of Love,2021,Horror,"5,016",547
285,Dark and Wicked,2020,Horror,"4,991",544
286,Things Don’t Stay Fixed,2021,Drama,"4,905",535
287,Evergreen,2020,Drama,"4,830",527
288,Scales,2021,Drama,"4,617",504
289,Bill Traylor: Chasing Ghosts,2021,Documentary,"4,504",491
290,No Place,2021,Action,"4,194",457
291,Mayday,2021,Action,"4,173",455
292,All My Life,2020,Drama,"3,995",436
293,Naked Singularity,2021,Drama,"3,050",332
294,Village Detective: A So…,2021,Documentary,"2,839",309
295,Shade Shepherd,2020,Thriller/Suspense,"2,293",250
296,Let Him Go,2020,Thriller/Suspense,"2,260",246
297,A Glitch in the Matrix,2021,Documentary,"2,238",244
298,Escape From Auschwitz,2021,Drama,"2,201",240
299,Crack House of the Dead,2021,Horror,"1,816",198
300,"Amigo Skate, Cuba",2020,Documentary,"1,787",195
301,Bang Bang,2020,Drama,"1,348",147
302,Skyfire,2021,Action,"1,105",120
303,In the Life of Music,2020,Drama,"1,057",115
304,Slalom,2021,Drama,"1,052",114
305,Evil Next Door,2021,Horror,"1,010",110
306,Unthinkable,2021,Action,974,106
307,Elbow Grease,2021,Comedy,917,100
308,Killer Raccoons 2: Dark Chr…,2020,Comedy,900,98
309,Forgotten Carols,2020,Musical,623,68
310,Bra,2020,Comedy,572,62
311,Funhouse,2021,Horror,507,55
312,East,2021,Drama,180,19
313,First Signal,2021,Drama,130,14
