Rank,Film Title,Year,Rating,Director,Actors
72,Once Upon a Time in America,1984,8.3,Sergio Leone ," Robert De Niro,  James Woods"
73,Aliens,1986,8.3,James Cameron ," Sigourney Weaver,  Michael Biehn"
74,Coco,2017,8.3,Lee Unkrich ," Anthony Gonzalez,  Gael García Bernal"
75,Capernaum,2018,8.3,Nadine Labaki ," Zain Al Rafeea,  Yordanos Shiferaw"
76,Avengers: Endgame,2019,8.3,Anthony Russo ," Robert Downey Jr.,  Chris Evans"
77,Das Boot,1981,8.3,Wolfgang Petersen ," Jürgen Prochnow,  Herbert Grönemeyer"
78,High and Low,1963,8.3,Akira Kurosawa ," Toshirô Mifune,  Yutaka Sada"
79,Hamilton,2020,8.3,Thomas Kail ," Lin-Manuel Miranda,  Phillipa Soo"
80,American Beauty,1999,8.3,Sam Mendes ," Kevin Spacey,  Annette Bening"
81,Toy Story,1995,8.3,John Lasseter ," Tom Hanks,  Tim Allen"
82,3 Idiots,2009,8.3,Rajkumar Hirani ," Aamir Khan,  Madhavan"
83,Amadeus,1984,8.3,Milos Forman ," F. Murray Abraham,  Tom Hulce"
84,Braveheart,1995,8.3,Mel Gibson ," Mel Gibson,  Sophie Marceau"
85,Inglourious Basterds,2009,8.3,Quentin Tarantino ," Brad Pitt,  Diane Kruger"
86,Good Will Hunting,1997,8.3,Gus Van Sant ," Robin Williams,  Matt Damon"
87,Star Wars: Episode VI - Return of the Jedi,1983,8.3,Richard Marquand ," Mark Hamill,  Harrison Ford"
88,2001: A Space Odyssey,1968,8.3,Stanley Kubrick ," Keir Dullea,  Gary Lockwood"
89,Reservoir Dogs,1992,8.3,Quentin Tarantino ," Harvey Keitel,  Tim Roth"
90,M,1931,8.3,Fritz Lang ," Peter Lorre,  Ellen Widmann"
91,Like Stars on Earth,2007,8.3,Aamir Khan ," Darsheel Safary,  Aamir Khan"
92,Vertigo,1958,8.3,Alfred Hitchcock ," James Stewart,  Kim Novak"
93,Citizen Kane,1941,8.3,Orson Welles ," Orson Welles,  Joseph Cotten"
94,Come and See,1985,8.3,Elem Klimov ," Aleksey Kravchenko,  Olga Mironova"
95, Hunt,2012,8.3,Thomas Vinterberg ," Mads Mikkelsen,  Thomas Bo Larsen"
96,Requiem for a Dream,2000,8.3,Darren Aronofsky ," Ellen Burstyn,  Jared Leto"
97,Singin' in the Rain,1952,8.3,Stanley Donen ," Gene Kelly,  Donald O'Connor"
98,North by Northwest,1959,8.3,Alfred Hitchcock ," Cary Grant,  Eva Marie Saint"
99,Eternal Sunshine of the Spotless Mind,2004,8.3,Michel Gondry ," Jim Carrey,  Kate Winslet"
100,Bicycle Thieves,1948,8.3,Vittorio De Sica ," Lamberto Maggiorani,  Enzo Staiola"
101,Ikiru,1952,8.3,Akira Kurosawa ," Takashi Shimura,  Nobuo Kaneko"
102,Pather Panchali,1955,8.3,Satyajit Ray ," Kanu Bannerjee,  Karuna Bannerjee"
103,Lawrence of Arabia,1962,8.2,David Lean ," Peter O'Toole,  Alec Guinness"
104, Kid,1921,8.2,Charles Chaplin ," Charles Chaplin,  Edna Purviance"
105,Full Metal Jacket,1987,8.2,Stanley Kubrick ," Matthew Modine,  R. Lee Ermey"
106,Dangal,2016,8.2,Nitesh Tiwari ," Aamir Khan,  Sakshi Tanwar"
107,Dune,2021,8.2,Denis Villeneuve ," Timothée Chalamet,  Rebecca Ferguson"
108, Father,2020,8.2,Florian Zeller ," Anthony Hopkins,  Olivia Colman"
109, Apartment,1960,8.2,Billy Wilder ," Jack Lemmon,  Shirley MacLaine"
110,A Clockwork Orange,1971,8.2,Stanley Kubrick ," Malcolm McDowell,  Patrick Magee"
111,Metropolis,1927,8.2,Fritz Lang ," Brigitte Helm,  Alfred Abel"
112,Taxi Driver,1976,8.2,Martin Scorsese ," Robert De Niro,  Jodie Foster"
113,Incendies,2010,8.2,Denis Villeneuve ," Lubna Azabal,  Mélissa Désormeaux-Poulin"
114,Double Indemnity,1944,8.2,Billy Wilder ," Fred MacMurray,  Barbara Stanwyck"
115, Sting,1973,8.2,George Roy Hill ," Paul Newman,  Robert Redford"
116,A Separation,2011,8.2,Asghar Farhadi ," Payman Maadi,  Leila Hatami"
117,Scarface,1983,8.2,Brian De Palma ," Al Pacino,  Michelle Pfeiffer"
118,1917,2019,8.2,Sam Mendes ," Dean-Charles Chapman,  George MacKay"
119,Snatch,2000,8.2,Guy Ritchie ," Jason Statham,  Brad Pitt"
120,Amélie,2001,8.2,Jean-Pierre Jeunet ," Audrey Tautou,  Mathieu Kassovitz"
121,To Kill a Mockingbird,1962,8.2,Robert Mulligan ," Gregory Peck,  John Megna"
122,Toy Story 3,2010,8.2,Lee Unkrich ," Tom Hanks,  Tim Allen"
123,For a Few Dollars More,1965,8.2,Sergio Leone ," Clint Eastwood,  Lee Van Cleef"
124,Up,2009,8.2,Pete Docter ," Ed Asner,  Jordan Nagai"
125,Indiana Jones and the Last Crusade,1989,8.2,Steven Spielberg ," Harrison Ford,  Sean Connery"
126,L.A. Confidential,1997,8.2,Curtis Hanson ," Kevin Spacey,  Russell Crowe"
127,Heat,1995,8.2,Michael Mann ," Al Pacino,  Robert De Niro"
128,Yojimbo,1961,8.2,Akira Kurosawa ," Toshirô Mifune,  Eijirô Tôno"
129,Rashomon,1950,8.2,Akira Kurosawa ," Toshirô Mifune,  Machiko Kyô"
130,Ran,1985,8.2,Akira Kurosawa ," Tatsuya Nakadai,  Akira Terao"
131,Die Hard,1988,8.2,John McTiernan ," Bruce Willis,  Alan Rickman"
132,Green Book,2018,8.2,Peter Farrelly ," Viggo Mortensen,  Mahershala Ali"
133,Downfall,2004,8.2,Oliver Hirschbiegel ," Bruno Ganz,  Alexandra Maria Lara"
134,Monty Python and the Holy Grail,1975,8.2,Terry Gilliam ," Graham Chapman,  John Cleese"
135,All About Eve,1950,8.2,Joseph L. Mankiewicz ," Bette Davis,  Anne Baxter"
136,Some Like It Hot,1959,8.2,Billy Wilder ," Marilyn Monroe,  Tony Curtis"
137,Batman Begins,2005,8.2,Christopher Nolan ," Christian Bale,  Michael Caine"
138,Unforgiven,1992,8.2,Clint Eastwood ," Clint Eastwood,  Gene Hackman"
139,Children of Heaven,1997,8.2,Majid Majidi ," Mohammad Amir Naji,  Amir Farrokh Hashemian"
140,Howl's Moving Castle,2004,8.2,Hayao Miyazaki ," Chieko Baishô,  Takuya Kimura"
141, Wolf of Wall Street,2013,8.2,Martin Scorsese ," Leonardo DiCaprio,  Jonah Hill"
142,Judgment at Nuremberg,1961,8.2,Stanley Kramer ," Spencer Tracy,  Burt Lancaster"
143, Great Escape,1963,8.2,John Sturges ," Steve McQueen,  James Garner"
144,Casino,1995,8.2,Martin Scorsese ," Robert De Niro,  Sharon Stone"
145, Treasure of the Sierra Madre,1948,8.2,John Huston ," Humphrey Bogart,  Walter Huston"
146,re Will Be Blood,2007,8.2,Paul Thomas Anderson ," Daniel Day-Lewis,  Paul Dano"
147,Pan's Labyrinth,2006,8.1,Guillermo del Toro ," Ivana Baquero,  Ariadna Gil"
148,A Beautiful Mind,2001,8.1,Ron Howard ," Russell Crowe,  Ed Harris"
149, Secret in ir Eyes,2009,8.1,Juan José Campanella ," Ricardo Darín,  Soledad Villamil"
150,Raging Bull,1980,8.1,Martin Scorsese ," Robert De Niro,  Cathy Moriarty"
151,My Neighbor Totoro,1988,8.1,Hayao Miyazaki ," Hitoshi Takagi,  Noriko Hidaka"
152,Chinatown,1974,8.1,Roman Polanski ," Jack Nicholson,  Faye Dunaway"
153,"Lock, Stock and Two Smoking Barrels",1998,8.1,Guy Ritchie ," Jason Flemyng,  Dexter Fletcher"
154, Gold Rush,1925,8.1,Charles Chaplin ," Charles Chaplin,  Mack Swain"
155,Shutter Island,2010,8.1,Martin Scorsese ," Leonardo DiCaprio,  Emily Mortimer"
156,No Country for Old Men,2007,8.1,Ethan Coen ," Tommy Lee Jones,  Javier Bardem"
157,Dial M for Murder,1954,8.1,Alfred Hitchcock ," Ray Milland,  Grace Kelly"
158, Seventh Seal,1957,8.1,Ingmar Bergman ," Max von Sydow,  Gunnar Björnstrand"
159,"Three Billboards Outside Ebbing, Missouri",2017,8.1,Martin McDonagh ," Frances McDormand,  Woody Harrelson"
160, Elephant Man,1980,8.1,David Lynch ," Anthony Hopkins,  John Hurt"
161, Thing,1982,8.1,John Carpenter ," Kurt Russell,  Wilford Brimley"
162, Sixth Sense,1999,8.1,M. Night Shyamalan ," Bruce Willis,  Haley Joel Osment"
163,Klaus,2019,8.1,Sergio Pablos ," Jason Schwartzman,  J.K. Simmons"
164, Third Man,1949,8.1,Carol Reed ," Orson Welles,  Joseph Cotten"
165,Wild Strawberries,1957,8.1,Ingmar Bergman ," Victor Sjöström,  Bibi Andersson"
166,Jurassic Park,1993,8.1,Steven Spielberg ," Sam Neill,  Laura Dern"
167, Truman Show,1998,8.1,Peter Weir ," Jim Carrey,  Ed Harris"
168,V for Vendetta,2005,8.1,James McTeigue ," Hugo Weaving,  Natalie Portman"
169,Inside Out,2015,8.1,Pete Docter ," Amy Poehler,  Bill Hader"
170,Memories of Murder,2003,8.1,Bong Joon Ho ," Kang-ho Song,  Kim Sang-kyung"
171,Blade Runner,1982,8.1,Ridley Scott ," Harrison Ford,  Rutger Hauer"
172,Trainspotting,1996,8.1,Danny Boyle ," Ewan McGregor,  Ewen Bremner"
173, Bridge on the River Kwai,1957,8.1,David Lean ," William Holden,  Alec Guinness"
174,Fargo,1996,8.1,Joel Coen ," William H. Macy,  Frances McDormand"
175,Warrior,2011,8.1,Gavin O'Connor ," Tom Hardy,  Nick Nolte"
176,Finding Nemo,2003,8.1,Andrew Stanton ," Albert Brooks,  Ellen DeGeneres"
177,Kill Bill: Vol. 1,2003,8.1,Quentin Tarantino ," Uma Thurman,  David Carradine"
178,Gone with the Wind,1939,8.1,Victor Fleming ," Clark Gable,  Vivien Leigh"
179,Tokyo Story,1953,8.1,Yasujirô Ozu ," Chishû Ryû,  Chieko Higashiyama"
180,Z,1969,8.1,Costa-Gavras ," Yves Montand,  Irene Papas"
181,My Father and My Son,2005,8.1,Cagan Irmak ," Eser Sariyar,  Çetin Tekindor"
182,On the Waterfront,1954,8.1,Elia Kazan ," Marlon Brando,  Karl Malden"
183,Stalker,1979,8.1,Andrei Tarkovsky ," Alisa Freyndlikh,  Aleksandr Kaydanovskiy"
184,Wild Tales,2014,8.1,Damián Szifron ," Darío Grandinetti,  María Marull"
185, Deer Hunter,1978,8.1,Michael Cimino ," Robert De Niro,  Christopher Walken"
186,Sherlock Jr.,1924,8.1,Buster Keaton ," Buster Keaton,  Kathryn McGuire"
187, General,1926,8.1,Clyde Bruckman ," Buster Keaton,  Marion Mack"
188,Gran Torino,2008,8.1,Clint Eastwood ," Clint Eastwood,  Bee Vang"
189,Persona,1966,8.1,Ingmar Bergman ," Bibi Andersson,  Liv Ullmann"
190, Grand Budapest Hotel,2014,8.1,Wes Anderson ," Ralph Fiennes,  F. Murray Abraham"
191,Prisoners,2013,8.1,Denis Villeneuve ," Hugh Jackman,  Jake Gyllenhaal"
192,Before Sunrise,1995,8.1,Richard Linklater ," Ethan Hawke,  Julie Delpy"
193,Mary and Max,2009,8.1,Adam Elliot ," Toni Collette,  Philip Seymour Hoffman"
194,Mr. Smith Goes to Washington,1939,8.1,Frank Capra ," James Stewart,  Jean Arthur"
195,Room,2015,8.1,Lenny Abrahamson ," Brie Larson,  Jacob Tremblay"
196,Catch Me If You Can,2002,8.1,Steven Spielberg ," Leonardo DiCaprio,  Tom Hanks"
197,In the Name of the Father,1993,8.1,Jim Sheridan ," Daniel Day-Lewis,  Pete Postlethwaite"
198,Barry Lyndon,1975,8.1,Stanley Kubrick ," Ryan O'Neal,  Marisa Berenson"
199,Gone Girl,2014,8.1,David Fincher ," Ben Affleck,  Rosamund Pike"
200,Hacksaw Ridge,2016,8.1,Mel Gibson ," Andrew Garfield,  Sam Worthington"
201,Andhadhun,2018,8.1,Sriram Raghavan ," Ayushmann Khurrana,  Tabu"
202, Passion of Joan of Arc,1928,8.1,Carl Theodor Dreyer ," Maria Falconetti,  Eugene Silvain"
203,To Be or Not to Be,1942,8.1,Ernst Lubitsch ," Carole Lombard,  Jack Benny"
204,Ford v Ferrari,2019,8.1,James Mangold ," Matt Damon,  Christian Bale"
205,12 Years a Slave,2013,8.1,Steve McQueen ," Chiwetel Ejiofor,  Michael Kenneth Williams"
206, Big Lebowski,1998,8.1,Joel Coen ," Jeff Bridges,  John Goodman"
207,How to Train Your Dragon,2010,8.1,Dean DeBlois ," Jay Baruchel,  Gerard Butler"
208,Mad Max: Fury Road,2015,8.1,George Miller ," Tom Hardy,  Charlize Theron"
209,Dead Poets Society,1989,8.1,Peter Weir ," Robin Williams,  Robert Sean Leonard"
210,Autumn Sonata,1978,8.1,Ingmar Bergman ," Ingrid Bergman,  Liv Ullmann"
211,Ben-Hur,1959,8.1,William Wyler ," Charlton Heston,  Jack Hawkins"
212,Million Dollar Baby,2004,8.1,Clint Eastwood ," Hilary Swank,  Clint Eastwood"
213,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,David Yates ," Daniel Radcliffe,  Emma Watson"
214, Wages of Fear,1953,8.1,Henri-Georges Clouzot ," Yves Montand,  Charles Vanel"
215,Stand by Me,1986,8.1,Rob Reiner ," Wil Wheaton,  River Phoenix"
216, Handmaiden,2016,8.1,Park Chan-Wook ," Kim Min-hee,  Ha Jung-woo"
217,Network,1976,8.1,Sidney Lumet ," Faye Dunaway,  William Holden"
218,Logan,2017,8.1,James Mangold ," Hugh Jackman,  Patrick Stewart"
219,Cool Hand Luke,1967,8.1,Stuart Rosenberg ," Paul Newman,  George Kennedy"
220, 400 Blows,1959,8,François Truffaut ," Jean-Pierre Léaud,  Albert Rémy"
221,Hachi: A Dog's Tale,2009,8,Lasse Hallström ," Richard Gere,  Joan Allen"
222,Gangs of Wasseypur,2012,8,Anurag Kashyap ," Manoj Bajpayee,  Richa Chadha"
223,La Haine,1995,8,Mathieu Kassovitz ," Vincent Cassel,  Hubert Koundé"
224,Platoon,1986,8,Oliver Stone ," Charlie Sheen,  Tom Berenger"
225,Spotlight,2015,8,Tom McCarthy ," Mark Ruffalo,  Michael Keaton"
226,A Silent Voice:  Movie,2016,8,Naoko Yamada ," Miyu Irino,  Saori Hayami"
227, Bandit,1996,8,Yavuz Turgul ," Sener Sen,  Ugur Yücel"
228,Monty Python's Life of Brian,1979,8,Terry Jones ," Graham Chapman,  John Cleese"
229,Rebecca,1940,8,Alfred Hitchcock ," Laurence Olivier,  Joan Fontaine"
230,"Monsters, Inc.",2001,8,Pete Docter ," Billy Crystal,  John Goodman"
231,Hotel Rwanda,2004,8,Terry George ," Don Cheadle,  Sophie Okonedo"
232,In the Mood for Love,2000,8,Kar-Wai Wong ," Tony Chiu-Wai Leung,  Maggie Cheung"
233,Rush,2013,8,Ron Howard ," Daniel Brühl,  Chris Hemsworth"
234,Into the Wild,2007,8,Sean Penn ," Emile Hirsch,  Vince Vaughn"
235,Love's a Bitch,2000,8,Alejandro G. Iñárritu ," Emilio Echevarría,  Gael García Bernal"
236,Rocky,1976,8,John G. Avildsen ," Sylvester Stallone,  Talia Shire"
237,Andrei Rublev,1966,8,Andrei Tarkovsky ," Anatoliy Solonitsyn,  Ivan Lapikov"
238,Nausicaä of the Valley of the Wind,1984,8,Hayao Miyazaki ," Sumi Shimamoto,  Mahito Tsujimura"
239,It Happened One Night,1934,8,Frank Capra ," Clark Gable,  Claudette Colbert"
240,Neon Genesis Evangelion:  End of Evangelion,1997,8,Hideaki Anno ," Megumi Ogata,  Megumi Hayashibara"
241,Before Sunset,2004,8,Richard Linklater ," Ethan Hawke,  Julie Delpy"
242,Fanny and Alexander,1982,8,Ingmar Bergman ," Bertil Guve,  Pernilla Allwin"
243, Battle of Algiers,1966,8,Gillo Pontecorvo ," Brahim Hadjadj,  Jean Martin"
244,Three Colors: Red,1994,8,Krzysztof Kieslowski ," Irène Jacob,  Jean-Louis Trintignant"
245,Demon Slayer: Mugen Train,2020,8,Haruo Sotozaki ," Natsuki Hanae,  Akari Kitô"
246, Princess Bride,1987,8,Rob Reiner ," Cary Elwes,  Mandy Patinkin"
247,"Paris, Texas",1984,8,Wim Wenders ," Harry Dean Stanton,  Nastassja Kinski"
248,Nights of Cabiria,1957,8,Federico Fellini ," Giulietta Masina,  François Périer"
249,Rififi,1955,8,Jules Dassin ," Jean Servais,  Carl Möhner"
250,Bhaag Milkha Bhaag,2013,8,Rakeysh Omprakash Mehra ," Farhan Akhtar,  Sonam Kapoor"
